"","company_name","number_of_portfolios","number_of_investors","mean_exposure","median_exposure","total_exposure","sector"
"162","Saudi Arabian Oil Co",2,1,8.98939469037824e-06,8.98939469037824e-06,1.03694587583646e-07,"Oil&Gas"
"163","Sm Energy Co",4,2,2.16878162847878e-05,2.16878162847878e-05,5.56835200783704e-08,"Oil&Gas"
"164","Sogn Og Fjordane Energi As",2,1,0.00101035513183523,0.00101035513183523,1.17070676944372e-05,"Power"
"165","Southern Co",7,3,0.00262047499238132,0.00155429470520196,0.00153205237487429,"Power"
"166","Southwestern Energy Co",4,2,2.84740331239292e-05,2.84740331239292e-05,7.26949130733224e-08,"Oil&Gas"
"167","Southwestern Public Service Co",2,1,0.000145874404468675,0.000145874404468675,0.000142817376909395,"Power"
"168","Statkraft As",4,2,0.000862619602781131,0.000922669891836773,2.06601916389283e-06,"Power"
"169","Stoneway Capital Corp",4,2,2.11851241452339e-06,2.11851241452339e-06,6.94857739324379e-10,"Power"
"170","Talen Energy Supply Llc",2,1,1.64990354432317e-06,1.64990354432317e-06,2.27555122825798e-10,"Power"
"171","Tampa Electric Co",2,1,0.000330437734602014,0.000330437734602014,0.000323512892200883,"Power"
"172","Tata Motors Ltd",2,1,0.000108131410344652,0.000108131410344652,1.38831308110546e-07,"Automotive"
"173","Tauron Polska Energia Sa",4,2,4.4327970429043e-05,4.97122254103912e-05,1.36413752286684e-07,"Power"
"174","Tesla Inc",4,2,7.16292152630192e-05,7.16292152630192e-05,1.01257393890642e-07,"Automotive"
"175","Toyota Motor Corp",2,1,0.000396367734759002,0.000396367734759002,0.000388061225517843,"Automotive"
"176","Tullow Oil Plc",6,3,3.71331680567171e-05,6.78611955552468e-06,1.33909821046419e-07,"Oil&Gas"
"177","Union Electric Co",2,1,0.000346096491570086,0.000346096491570086,0.000338843495290488,"Power"
"178","Unit Corp",2,1,2.27683649859494e-05,2.27683649859494e-05,2.92325965643345e-08,"Oil&Gas"
"179","Verbund Ag",2,1,9.39562147087834e-08,9.39562147087834e-08,3.89141394190337e-11,"Power"
"180","Wec Energy Group Inc",4,2,0.000111277733866678,0.000110774164126906,0.00016508195771626,"Power"
"181","Whiting Petroleum Corp",4,2,8.82658252574385e-05,8.82658252574385e-05,2.25931413551792e-07,"Oil&Gas"
"182","Wisconsin Electric Power Co",2,1,0.000143416302055441,0.000143416302055441,0.000140410787898037,"Power"
"183","Wisconsin Power & Light Co",2,1,7.15747550325795e-05,7.15747550325795e-05,7.00747934767447e-05,"Power"
"184","Wisconsin Public Service Corp",2,1,9.38894985368056e-05,9.38894985368056e-05,9.19218964369072e-05,"Power"
"185","Wpx Energy Inc",2,1,2.20634553712547e-05,2.20634553712547e-05,2.83275540461999e-08,"Oil&Gas"
"186","Xcel Energy Inc",2,1,0.000782509682373542,0.000782509682373542,0.000766110961342718,"Power"
