"","investor_name","portofolio_name","portfolio_value_usd","alignment_neutral","alignment_only_brown","alignment_emission_based","alignment_electric","alignment_hybrid","alignment_ice","alignment_coalcap","alignment_gascap","alignment_hydrocap","alignment_nuclearcap","alignment_oilcap","alignment_renewablescap","alignment_freight","alignment_mix","alignment_other","alignment_passenger","alignment_gas","alignment_oil","alignment_coal","alignment_grinding","alignment_integrated facility","alignment_ac-electric arc furnace","alignment_bof shop","alignment_dc-electric arc furnace","alignment_open hearth meltshop","exposure_green","exposure_brown","ratio_green_greenbrown","exposure_electric","exposure_hybrid","exposure_ice","exposure_coalcap","exposure_gascap","exposure_hydrocap","exposure_nuclearcap","exposure_oilcap","exposure_renewablescap","exposure_freight","exposure_mix","exposure_other","exposure_passenger","exposure_gas","exposure_oil","exposure_coal","exposure_grinding","exposure_integrated facility","exposure_ac-electric arc furnace","exposure_bof shop","exposure_dc-electric arc furnace","exposure_open hearth meltshop","market_share_delta_automotive","market_share_delta_power","market_share_delta_aviation","market_share_delta_oil&gas","market_share_delta_coal","market_share_delta_cement","market_share_delta_steel"
"34","Swiss Re Europe S.A.","SRE  2",153951123.522767,-0.413964174663328,-0.245577232863549,-0.309841353328603,-0.633867358390265,-0.617002886825388,-0.283435098415352,0,0.058937431351035,-0.988716489553306,-1,-0.210819411296738,-0.76336549828259,NA,NA,NA,NA,-0.11353128080274,-0.190249850384924,-0.225519653359673,NA,NA,NA,NA,NA,NA,0.00081356975164424,0.034046914426312,0.0233378787136495,0.000196913748297705,0.000616656003346535,0.0130556760344081,0,0,0,0,0,0,NA,NA,NA,NA,0.00776172487793137,0.0209912383919039,0,NA,NA,NA,NA,NA,NA,-0.0343562973377431,-1.35104023752561e-06,NA,-0.0492448942565097,0,NA,NA
"35","Swiss Re Europe S.A.","SRE  6",45744166.6082387,-0.165846046629063,-0.0340450605750939,0.138462949158975,NA,NA,NA,0,0,-1,-1,0,-0.122498009581942,NA,NA,NA,NA,0.422476539355203,0.373253097194233,NA,NA,NA,NA,NA,NA,NA,0.033243342545148,0,1,NA,NA,NA,0,0,0,0,0,0.033243342545148,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,-0.0343562973377431,-1.35104023752561e-06,NA,-0.0492448942565097,0,NA,NA
"36","Swiss Re Europe S.A.","Swiss Re Europe S.A.",199695290.131006,-0.348842011480024,-0.226591985370336,-0.237469008680542,-0.633867358390265,-0.617002886825388,-0.283435098415352,0,0,-1,-1,0,-0.122498009581942,NA,NA,NA,NA,-0.11353128080274,-0.190249850384924,-0.225519653359673,NA,NA,NA,NA,NA,NA,0.00824225236484038,0.0262477934505898,0.23897481635565,0.000151806749010572,0.000475398716113827,0.0100650145155042,0,0,0,0,0,0.00761504689971598,NA,NA,NA,NA,0.00598374786229681,0.0161827789350856,0,NA,NA,NA,NA,NA,NA,-0.0343562973377431,-1.35104023752561e-06,NA,-0.0492448942565097,0,NA,NA
"37","Swiss Re International SE","SRI  4",17875216.0048372,-0.0442235747620095,-0.0538641476534634,-0.0107080018369418,0.511759890722798,-0.61609389518121,-0.159535858021628,0.131747808948085,-0.0419123063584037,-0.0280004320406187,-0.0759578970673327,-0.20880764872967,0.0325647205826235,NA,NA,NA,NA,0.0357856746875899,-0.112232954686347,0,NA,NA,NA,NA,NA,NA,0.0442380981805936,0.100413417829566,0.305825333883721,0.00053330412113697,0.00204534619538257,0.040509889085277,0.00459857951458361,0.0310580910084422,0.0140608770921551,0.00282137122024567,0.0099715729887527,0.0275985707719189,NA,NA,NA,NA,0.0314907628205458,0.045333376240953,0,NA,NA,NA,NA,NA,NA,-0.461364554810846,-0.463083776120637,NA,-0.400145892264404,0,NA,NA
"38","Swiss Re International SE","SRI  5",6467288.8582777,-0.127341659765702,-0.0572035351406177,-0.0882701441639471,0.135734767627546,-0.679752516949966,-0.261732870963504,0.0497537096652499,0.0805596887571154,-0.24885696253605,-0.0462008828309881,-0.13832409777442,-0.277596924205014,NA,NA,NA,NA,0.0075454411877819,-0.149229269166177,0,NA,NA,NA,NA,NA,NA,0.0102083157282954,0.0408271850226481,0.200023818285093,2.14160639060343e-05,3.97402464886075e-05,0.00363219974309023,0.00893348678443786,0.0121588151614565,0.00174099488712817,0.00446944276866143,0.00150103188084884,0.00840616453077263,NA,NA,NA,NA,0.015678582649775,0.0267604666142712,0,NA,NA,NA,NA,NA,NA,-0.461364554810846,-0.463083776120637,NA,-0.400145892264404,0,NA,NA
"39","Swiss Re International SE","Swiss Re International SE",24342504.8631149,-0.0475642240507935,-0.0534573126378581,-0.0171075434361154,0.499892170506998,-0.618097134936679,-0.163291315206961,0.115194665443909,-0.0278453041555955,-0.0329081791583783,-0.0684695042870368,-0.1959057128561,0.00800095608140195,NA,NA,NA,NA,0.0311102057096381,-0.118451535750718,0,NA,NA,NA,NA,NA,NA,0.0351971044890676,0.0845826156296315,0.293848611886787,0.000397306287395902,0.00151249910013431,0.0307122667476047,0.00575027272141032,0.0260369530112621,0.0107877448747474,0.00325922898478756,0.00772112931260753,0.02249955422679,NA,NA,NA,NA,0.0272898008727695,0.0403989468480089,0,NA,NA,NA,NA,NA,NA,-0.461364554810846,-0.463083776120637,NA,-0.400145892264404,0,NA,NA
"40","The Shipowners P and I","Agregate",87605928.2794545,-0.610096082579405,-0.84649075979099,-0.220783986770401,0.0238771676904128,-0.891121432577781,-0.281685571078899,-0.208550029470023,-5.66197244260953,-0.136467804738009,0.137845792711255,-0.218341060129126,0.454485157000441,NA,NA,NA,NA,0.0324088119813705,-0.154089369178978,-0.417542210553994,NA,NA,NA,NA,NA,NA,0.00910382593948789,0.103026997287675,0.0811893258024575,0.00031660508486915,0.000154006763539524,0.0311195085563431,0.000438059278104381,0.00694603720665022,0.000478224446438948,9.42160672903275e-05,0.00426589344547669,0.00791452965379452,NA,NA,NA,NA,0.0407006715914492,0.0672035360077507,0.000240459990845751,NA,NA,NA,NA,NA,NA,-0.339759608863553,-0.223175012075695,NA,-0.420213065101415,-0.57352105424946,NA,NA
"41","The Shipowners P and I","The Shipowners P and I",87605928.2794545,-0.610096082579405,-0.84649075979099,-0.220783986770401,0.0238771676904128,-0.891121432577781,-0.281685571078899,-0.208550029470023,-5.66197244260953,-0.136467804738009,0.137845792711255,-0.218341060129126,0.454485157000441,NA,NA,NA,NA,0.0324088119813705,-0.154089369178978,-0.417542210553994,NA,NA,NA,NA,NA,NA,0.00910382593948789,0.103026997287675,0.0811893258024575,0.00031660508486915,0.000154006763539524,0.0311195085563431,0.000438059278104381,0.00694603720665022,0.000478224446438948,9.42160672903275e-05,0.00426589344547669,0.00791452965379452,NA,NA,NA,NA,0.0407006715914492,0.0672035360077507,0.000240459990845751,NA,NA,NA,NA,NA,NA,-0.339759608863553,-0.223175012075695,NA,-0.420213065101415,-0.57352105424946,NA,NA
"42","Wealins S.A.","Wealins Direct",3955303.93951555,-0.426304091641939,-0.48179402937565,-0.593599834475211,NA,NA,NA,-0.808470592465239,0.0921138862593751,-0.024980354353452,-1,-0.210819411296738,-0.605668077995583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA
"43","Wealins S.A.","Wealins S.A.",3955303.93951555,-0.426304091641939,-0.48179402937565,-0.593599834475211,NA,NA,NA,-0.808470592465239,0.0921138862593751,-0.024980354353452,-1,-0.210819411296738,-0.605668077995583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA
