"","company_name","number_of_portfolios","number_of_investors","mean_exposure","median_exposure","total_exposure","sector"
"173","Nissan Motor Co Ltd",7,3,2.25935473824187e-05,1.19739762363717e-05,1.53037029900461e-05,"Automotive"
"174","Novatek Pjsc",2,1,6.4738517629635e-05,6.4738517629635e-05,1.08016068366756e-05,"Oil&Gas"
"175","Oge Energy Corp",2,1,0.000244307310646063,0.000244307310646063,3.74199232199748e-05,"Power"
"176","Ogk-2 Pjsc",2,1,0.000114145789976499,0.000114145789976499,1.90451989098911e-05,"Power"
"177","Oil & Natural Gas Corp Ltd",4,2,7.16088959467651e-05,5.21969239980674e-05,1.83094172633642e-05,"Oil&Gas"
"178","Oil Search Ltd",2,1,0.000162776744857663,0.000162776744857663,2.49278468739246e-05,"Oil&Gas"
"179","Orca Exploration Group Inc",2,1,6.39924449624124e-06,6.39924449624124e-06,2.8296932988438e-06,"Oil&Gas"
"180","Origin Energy Ltd",2,1,0.000156225970904004,0.000156225970904004,2.39269495163615e-05,"Power"
"181","Petroleo Brasileiro Sa",6,3,0.000233952960160388,0.000135010643775005,3.0589536721859e-05,"Oil&Gas"
"182","Pge Polska Grupa Energetyczna",4,2,3.6375644928806e-05,3.21602868415098e-05,7.23152925090942e-06,"Power"
"183","Polski Koncern Naftowy Orlen S",5,2,0.000153733376051632,0.000119240448135444,4.52021888589429e-05,"Oil&Gas"
"184","Polskie Gornictwo Naftowe I Ga",4,2,4.16921618995378e-05,4.65087225092604e-05,6.81636857294452e-06,"Oil&Gas"
"185","Power Assets Holdings Ltd",3,1,0.000123336123190232,0.000115611295519177,3.0363509228254e-05,"Power"
"186","Ptt Pcl",4,2,7.57541340092573e-05,8.11501065628145e-05,5.88364975564076e-05,"Oil&Gas"
"187","Reliance Industries Ltd",6,3,0.000214801559760014,3.08981814089262e-05,1.38820791703383e-05,"Oil&Gas"
"188","Rosneft Oil Co Pjsc",4,2,0.000108742612680214,9.64808605245299e-05,2.15663396419633e-05,"Oil&Gas"
"189","Rushydro Pjsc",2,1,4.58851405048572e-05,4.58851405048572e-05,7.65592518220101e-06,"Power"
"190","Saic Motor Corp Ltd",9,4,0.000679980262340346,8.35188744351547e-05,0.000482399941997558,"Automotive"
"191","Santos Ltd",2,1,0.000109948699204133,0.000109948699204133,1.68417533408029e-05,"Oil&Gas"
"192","Sdic Power Holdings Co Ltd",2,1,1.53493822096027e-05,1.53493822096027e-05,2.34910941193944e-06,"Power"
"193","Shamaran Petroleum Corp",2,1,1.11127767075378e-05,1.11127767075378e-05,4.91397848595058e-06,"Oil&Gas"
"194","Sichuan Chuantou Energy Co Ltd",2,1,1.10409558732756e-05,1.10409558732756e-05,1.68973662943214e-06,"Power"
"195","Sk Holdings Co Ltd",4,2,8.30516022468894e-05,9.4440509727777e-05,1.19508135480517e-05,"Oil&Gas"
"196","Sk Innovation Co Ltd",4,2,9.85752711941491e-05,0.000108232804660277,1.09391867207069e-05,"Oil&Gas"
"197","Sound Energy Plc",2,1,4.00977439795402e-06,4.00977439795402e-06,1.77308926865203e-06,"Oil&Gas"
"198","Southwestern Energy Co",2,1,0.000103711778025957,0.000103711778025957,4.58604954793656e-05,"Oil&Gas"
"199","Subaru Corp",5,2,2.65160981850698e-05,6.4112438744351e-06,1.02025307737911e-05,"Automotive"
"200","Surgutneftegas Pjsc",4,2,0.000122145898430061,9.00951057831878e-05,3.03420774544992e-05,"Oil&Gas"
"201","Suzuki Motor Corp",7,3,5.96052918420806e-05,3.57786850919531e-05,1.51290682089709e-05,"Automotive"
"202","Tata Motors Ltd",4,2,3.88632351017121e-05,4.44576825596943e-05,5.79686458431627e-06,"Automotive"
"203","Tatneft Pjsc",5,2,0.000201162259532537,0.000221658592384561,5.00181512251176e-05,"Oil&Gas"
"204","Tauron Polska Energia Sa",2,1,6.43059118205815e-05,6.43059118205815e-05,1.07294266565332e-05,"Power"
"205","Tenaga Nasional Bhd",5,2,0.000100562177727001,0.000118395957827397,1.96552602105679e-05,"Power"
"206","Tohoku Electric Power Co Inc",4,2,2.96452832803033e-05,1.93346215622784e-05,9.54915686326978e-06,"Power"
"207","Tokyo Electric Power Co Holdin",5,2,9.04992107825059e-05,4.16895058395647e-06,3.71912158075042e-05,"Power"
"208","Toyota Motor Corp",7,3,0.00102900330047232,0.000304255864353951,8.24759415683792e-05,"Automotive"
"209","Transalta Corp",2,1,4.25011208720655e-06,4.25011208720655e-06,1.87936461867764e-06,"Power"
"210","Unipro Pjsc",2,1,0.00029388778169519,0.00029388778169519,4.90351090541659e-05,"Power"
