"","investor_name","portofolio_name","portfolio_value_usd","alignment_neutral","alignment_only_brown","alignment_emission_based","alignment_electric","alignment_hybrid","alignment_ice","alignment_grinding","alignment_integrated facility","alignment_coalcap","alignment_gascap","alignment_hydrocap","alignment_nuclearcap","alignment_oilcap","alignment_renewablescap","alignment_ac-electric arc furnace","alignment_bof shop","alignment_dc-electric arc furnace","alignment_open hearth meltshop","alignment_freight","alignment_mix","alignment_other","alignment_passenger","alignment_gas","alignment_oil","alignment_coal","exposure_green","exposure_brown","ratio_green_greenbrown","exposure_electric","exposure_hybrid","exposure_ice","exposure_grinding","exposure_integrated facility","exposure_coalcap","exposure_gascap","exposure_hydrocap","exposure_nuclearcap","exposure_oilcap","exposure_renewablescap","exposure_ac-electric arc furnace","exposure_bof shop","exposure_dc-electric arc furnace","exposure_open hearth meltshop","exposure_freight","exposure_mix","exposure_other","exposure_passenger","exposure_gas","exposure_oil","exposure_coal"
"33","Liberty Mutual Insurance Europe Limited","EURO",340854436,-0.0397411870006518,-0.0738512123807219,-0.0465897767954596,0.862008271171827,-0.287374470697737,-0.179993589423205,NA,NA,0.00938018791994381,0.048327656272958,-0.0963303091151289,-0.161612764215576,-0.230559646882709,-0.398498061701077,NA,NA,NA,NA,NA,NA,NA,NA,0.0704694505693413,-0.0729697809058066,NA,0.00597215389013854,0.0137344200173132,0.303053890452275,1.73126157647045e-05,0.000114126345493557,0.0015001519504704,NA,NA,0.00690811906808302,0.0114990898785604,0.00272840902899179,0.00151078048264244,0.00107000911646211,0.00311230589988849,NA,NA,NA,NA,NA,NA,NA,NA,0.00254473684151295,0.00425613988229768,NA
"34","Liberty Mutual Insurance Europe Limited","Liberty Mutual Insurance Europe Limited",1411542191,-0.031515735494394,-0.0597564901144811,-0.0482510394481599,0.862008271171827,-0.287374470697737,-0.179993589423205,NA,NA,0.0778112811996146,0.0382422413026293,-0.0895571037124738,-0.212000210292529,-0.16007569033917,-0.413454356398582,NA,NA,NA,NA,NA,NA,NA,NA,0.134215830255537,-0.116495293504245,NA,0.00509810718769977,0.0186046463680283,0.215085018528058,4.18059192264204e-06,2.7558844060048e-05,0.000362251621136197,NA,NA,0.00423065961123774,0.0113080338628982,0.00189510458442002,0.00267928620258443,0.000832039043782441,0.00317126316729707,NA,NA,NA,NA,NA,NA,NA,NA,0.00967042075596375,0.0131796960918719,NA
"35","Liberty Mutual Insurance Europe Limited","STER",219658396,0.00581215779258832,0.00581215779258832,0.00991999610889351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00702483694586538,0.018649152531042,NA,0,0.0034851197876976,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0016896516788117,0.0034851197876976,NA
"36","Liberty Mutual Insurance Europe Limited","USDOL",851029359,-0.0839468752100063,-0.0271440288626491,-0.093787357365429,NA,NA,NA,NA,NA,0.144478707044272,0.0219039618653751,-0.08553873522622,-0.221368916636159,-0.126436162266122,-0.423172093277936,NA,NA,NA,NA,NA,NA,NA,NA,0.14112090864983,-0.12256267183309,NA,0.0060639015436719,0.0244577572627373,0.198675359754646,NA,NA,NA,NA,NA,0.00425025467100183,0.0141502181708722,0.00205049301537912,0.00383884439805937,0.000951484049743177,0.00401340852829278,NA,NA,NA,NA,NA,NA,NA,NA,0.0145843098737515,0.0192560185419923,NA
"37","Meta Investor","Meta Portfolio",1182465792201.25,-0.943776823077466,-1.18571635759989,-2.50083637377125,-0.713344258852483,-0.376552708381796,-0.248659589047089,NA,NA,0.0366702747896666,0.0776238830150827,-0.246850099795473,-0.0567848984635631,-0.120598587368158,-0.502843949100723,NA,NA,NA,NA,NA,NA,NA,NA,0.147474423806529,-0.062901629428652,-9.25855473810294,0.00827847960703251,0.0335261347017789,0.198027891033254,1.27219165990971e-06,6.48817726586416e-05,0.000416871186528476,NA,NA,0.0123200790131545,0.0160143939950779,0.00209291072393497,0.00491039748440173,0.00143522002909955,0.00611871101137311,NA,NA,NA,NA,NA,NA,NA,NA,0.0117912789910588,0.0193539644729964,7.03907405885727e-07
"38","Natixis Life","CACEIS_FG_FP",1815765475.32783,-0.198111982790417,-0.0654417010034718,-0.148809324056007,-0.283844585620253,-0.955382952517479,-0.514840434222811,NA,NA,0.0551017437715979,0.0621655591290461,-0.108651707169131,0.194126680397188,-0.210819411296738,-0.373260658363422,NA,NA,NA,NA,NA,NA,NA,NA,0.111146589223905,-0.154972634026491,NA,0.00750037382858856,0.0169856523683743,0.306312415426513,5.57643941386135e-05,5.67624749624755e-06,0.00239859323093662,NA,NA,0.00243296338172278,0.00628452560196708,0.00432662961021975,0.00085931085168406,0.00360267744587833,0.00311230357673395,NA,NA,NA,NA,NA,NA,NA,NA,0.00828687564044224,0.00855141830983657,NA
"39","Natixis Life","Natixis Life",1815765475.32783,-0.198111982790417,-0.0654417010034718,-0.148809324056007,-0.283844585620253,-0.955382952517479,-0.514840434222811,NA,NA,0.0551017437715979,0.0621655591290461,-0.108651707169131,0.194126680397188,-0.210819411296738,-0.373260658363422,NA,NA,NA,NA,NA,NA,NA,NA,0.111146589223905,-0.154972634026491,NA,0.00750037382858856,0.0169856523683743,0.306312415426513,5.57643941386135e-05,5.67624749624755e-06,0.00239859323093662,NA,NA,0.00243296338172278,0.00628452560196708,0.00432662961021975,0.00085931085168406,0.00360267744587833,0.00311230357673395,NA,NA,NA,NA,NA,NA,NA,NA,0.00828687564044224,0.00855141830983657,NA
"40","Platform Sample Portfolios","Country Focus",8422577005.68228,-0.31452117849047,-0.25,-0.515010871722059,NA,NA,NA,NA,NA,0,0,-0.00516649536875498,-1,0,-0.881960575574067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0124255828126121,0,1,NA,NA,NA,NA,NA,0,0,0.0124130505336621,0,0,1.25322789499428e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Platform Sample Portfolios","Mixed Portfolio",8384652132.80398,-0.0157571004794502,-0.0350061205400126,0.0254311152666826,0.783785437702825,-0.319652176792783,-0.20477344973317,NA,NA,0.074835452271641,0.0824460412549633,-0.0789707176564176,-0.279152215370511,-0.21254445931828,-0.313447804747488,NA,NA,NA,NA,NA,NA,NA,NA,0.310608116170714,-0.0164623290554454,NA,0.00246056579388471,0.0533847512818708,0.04406037825064,4.87306835269017e-05,0.000218084997086568,0.00374435437098476,NA,NA,0.000574018116896117,0.00284707623087119,0.00135969020204345,0.000457994651675408,0.000233964294331133,0.000834059911227795,NA,NA,NA,NA,NA,NA,NA,NA,0.156712805064579,0.0488324144996588,NA
"42","Platform Sample Portfolios","Platform Sample Portfolios",1281109169184.1,-0.194384493656428,-0.0305448994733297,-0.147191269196832,-0.782825508315316,-0.377618948461622,-0.249987074905394,NA,NA,0.0352031750160109,0.0779744290045386,-0.257989444062562,-0.0434373656159729,-0.118881732774899,-0.505981233067902,NA,NA,NA,NA,NA,NA,NA,NA,0.14789466483053,-0.0625803918681223,NA,0.008248070529008,0.0337824366851302,0.196240090251243,2.87225188440846e-07,6.20574214245977e-05,0.000355281804547324,NA,NA,0.0124408775058642,0.0161489082016616,0.00207492538107527,0.0049060003705816,0.00143918295836103,0.00611080050131968,NA,NA,NA,NA,NA,NA,NA,NA,0.0118890606575266,0.0195470944163577,NA
